"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 05, 2020","7,388.49","7,312.24","7,388.67","7,329.71","303.52M","1.04%"
"Jul 02, 2020","7,312.24","7,253.33","7,312.24","7,271.41","211.10M","0.81%"
"Jul 01, 2020","7,253.33","7,224.09","7,283.68","7,213.99","215.52M","0.40%"
"Jun 30, 2020","7,224.09","7,296.79","7,328.26","7,224.09","315.09M","-0.87%"
"Jun 29, 2020","7,287.41","7,292.62","7,307.54","7,269.49","326.47M","-0.07%"
"Jun 28, 2020","7,292.62","7,232.34","7,298.86","7,259.66","217.66M","0.83%"
"Jun 25, 2020","7,232.34","7,213.36","7,244.35","7,155.32","223.50M","0.26%"
"Jun 24, 2020","7,213.36","7,265.08","7,272.55","7,196.69","246.31M","-0.71%"
"Jun 23, 2020","7,265.08","7,260.09","7,276.70","7,218.63","217.19M","0.07%"
"Jun 22, 2020","7,260.09","7,345.88","7,342.07","7,244.51","265.53M","-1.17%"
"Jun 21, 2020","7,345.88","7,355.66","7,381.98","7,343.93","255.00M","-0.13%"
"Jun 18, 2020","7,355.66","7,309.67","7,355.66","7,293.39","398.58M","0.63%"
"Jun 17, 2020","7,309.67","7,308.21","7,355.14","7,291.95","331.25M","0.02%"
"Jun 16, 2020","7,308.21","7,263.65","7,358.16","7,284.40","351.33M","0.61%"
"Jun 15, 2020","7,263.65","7,292.54","7,272.18","7,229.17","296.98M","-0.40%"
"Jun 14, 2020","7,292.54","7,309.80","7,306.50","7,252.78","2.35B","-0.24%"
"Jun 11, 2020","7,309.80","7,328.09","7,309.80","7,254.85","259.73M","-0.25%"
"Jun 10, 2020","7,328.09","7,329.38","7,339.29","7,287.17","264.53M","-0.02%"
"Jun 09, 2020","7,329.38","7,300.48","7,329.38","7,277.88","264.66M","0.40%"
"Jun 08, 2020","7,300.48","7,272.55","7,306.01","7,247.74","275.32M","0.45%"
"Jun 07, 2020","7,267.86","7,207.78","7,277.70","7,233.67","225.87M","0.83%"
"Jun 04, 2020","7,207.78","7,222.41","7,207.78","7,129.25","234.18M","-0.20%"
"Jun 03, 2020","7,222.41","7,285.23","7,311.85","7,202.39","286.85M","-0.86%"
"Jun 02, 2020","7,285.23","7,288.81","7,321.36","7,277.63","343.52M","-0.05%"
"Jun 01, 2020","7,288.81","7,213.03","7,288.81","7,202.14","349.59M","1.05%"
"May 31, 2020","7,213.03","7,050.66","7,338.96","7,149.71","307.44M","2.30%"
"May 21, 2020","7,050.66","7,050.17","7,084.00","7,037.81","274.85M","0.01%"
"May 20, 2020","7,050.17","7,044.56","7,073.50","7,014.65","190.72M","0.08%"
"May 19, 2020","7,044.56","6,921.15","7,057.61","6,961.79","242.30M","1.78%"
"May 18, 2020","6,921.15","6,824.70","6,944.16","6,862.50","230.18M","1.41%"
